,date,Username,text,Tweet Link,Retweets,Likes,TweetImageUrl,Image,clean_text,accounts_mentioned,hashtags
4672,2013-12-01 11:33:00,https://twitter.com/BarackObama,Health insurance is important. Have the talk: http://OFA.BO/Vy9EJ9 ,https://twitter.com/BarackObama/status/407230875206569984,385,426,,,Health insurance is important. Have the talk:,[],[]
4671,2013-12-01 13:13:00,https://twitter.com/BarackObama,In a single moment 58 years ago today Rosa Parks helped change this country.pic.twitter.com/C502SKfJnj,https://twitter.com/BarackObama/status/407256240570396672,18946,15603,https://pbs.twimg.com/media/BabdZKACcAA4dv9.jpg,,In a single moment 58 years ago today Rosa Parks helped change this country.pic.twitter.com/C502SKfJnj,[],[]
4670,2013-12-02 08:03:00,https://twitter.com/BarackObama,America deserves an immigration system that works. It's time to #ActOnReform:http://OFA.BO/8y4Km9 ,https://twitter.com/BarackObama/status/407540546761007104,531,474,,,America deserves an immigration system that works. It's time to :,[],['ActOnReform']
4669,2013-12-02 09:37:00,https://twitter.com/BarackObama,"ICYMI: MT @fast4families: @BarackObama & the fasters: ""It's not a matter of if but when"" #Fast4Familiespic.twitter.com/pGwFUmU9xb",https://twitter.com/BarackObama/status/407564295296139264,480,602,https://pbs.twimg.com/media/Baf1kTTCQAAubBo.jpg,,"ICYMI: MT : & the fasters: ""It's not a matter of if but when"" .twitter.com/pGwFUmU9xb",['fast4families'],['Fast4Familiespic']
4668,2013-12-02 10:22:00,https://twitter.com/BarackObama,LIVE: President Obama is speaking in observance of World AIDS Day. http://OFA.BO/wzsSU8  #WAD2013,https://twitter.com/BarackObama/status/407575559623806976,229,239,,,LIVE: President Obama is speaking in observance of World AIDS Day.,[],['WAD2013']
4667,2013-12-02 10:27:00,https://twitter.com/BarackObama,This is a moment to reflect on how far we've come since the early days of the AIDS epidemic. —President Obama #WAD2013,https://twitter.com/BarackObama/status/407576670820777985,360,360,,,This is a moment to reflect on how far we've come since the early days of the AIDS epidemic. —President Obama,[],['WAD2013']
4666,2013-12-02 10:31:00,https://twitter.com/BarackObama,Beginning in January no American will be denied health coverage because of their HIV status. —President Obama,https://twitter.com/BarackObama/status/407577807875633152,1005,979,,,Beginning in January no American will be denied health coverage because of their HIV status. —President Obama,[],[]
4665,2013-12-02 10:36:00,https://twitter.com/BarackObama,President Obama: We've helped 6.7 million people receive life-saving treatment under @PEPFAR. #WAD2013,https://twitter.com/BarackObama/status/407579120462086144,293,331,,,President Obama: We've helped 6.7 million people receive life-saving treatment under .,['PEPFAR'],['WAD2013']
4664,2013-12-02 10:44:00,https://twitter.com/BarackObama,I believe we're going to win this fight and I am confident that we will do so together. —President Obama #WAD2013,https://twitter.com/BarackObama/status/407580933076692992,623,589,,,I believe we're going to win this fight and I am confident that we will do so together. —President Obama,[],['WAD2013']
4663,2013-12-02 12:14:00,https://twitter.com/BarackObama,For a small business owner in New York Obamacare means better coverage a bigger network and serious savings:http://OFA.BO/QTNmMN ,https://twitter.com/BarackObama/status/407603576861503488,327,337,,,For a small business owner in New York Obamacare means better coverage a bigger network and serious savings:,[],[]
4662,2013-12-02 13:56:00,https://twitter.com/BarackObama,This November U.S. manufacturing production grew at the fastest pace in 30 months according to @ISM: http://OFA.BO/Tbyswd ,https://twitter.com/BarackObama/status/407629263274115072,348,369,,,This November U.S. manufacturing production grew at the fastest pace in 30 months according to :,['ISM'],[]
4661,2013-12-02 15:47:00,https://twitter.com/BarackObama,For the trivia players: Today the Capitol Dome celebrates its 150th anniversary.pic.twitter.com/SQ2bhqgFpr,https://twitter.com/BarackObama/status/407657253580201987,1445,1789,https://pbs.twimg.com/media/BahKHL5CYAAiXVP.jpg,,For the trivia players: Today the Capitol Dome celebrates its 150th anniversary.pic.twitter.com/SQ2bhqgFpr,[],[]
4660,2013-12-03 07:45:00,https://twitter.com/BarackObama,The Senate already passed bipartisan immigration reform. It's time for the House of Representatives to #ActOnReform.http://OFA.BO/MCfAbz ,https://twitter.com/BarackObama/status/407898376487718912,439,366,,,The Senate already passed bipartisan immigration reform. It's time for the House of Representatives to .,[],['ActOnReform']
4659,2013-12-03 09:28:00,https://twitter.com/BarackObama,These seven representatives serve districts who want leaders on immigration. #ActOnReformpic.twitter.com/UYlxJgNJht,https://twitter.com/BarackObama/status/407924418698964992,451,412,https://pbs.twimg.com/media/Bak9GPhCcAEU3b1.png,,These seven representatives serve districts who want leaders on immigration. .twitter.com/UYlxJgNJht,[],['ActOnReformpic']
4658,2013-12-03 11:00:00,https://twitter.com/BarackObama,Make sure to watch President Obama speak about the benefits of the Affordable Care Act at 2:30 p.m. ET:http://OFA.BO/ztNB4Z ,https://twitter.com/BarackObama/status/407947365186678785,191,189,,,Make sure to watch President Obama speak about the benefits of the Affordable Care Act at 2:30 p.m. ET:,[],[]
4657,2013-12-03 11:46:00,https://twitter.com/BarackObama,LIVE: President Obama is speaking about how the Affordable Care Act is benefitting Americans. Watch here: http://OFA.BO/KYm9GH ,https://twitter.com/BarackObama/status/407958956036734977,183,191,,,LIVE: President Obama is speaking about how the Affordable Care Act is benefitting Americans. Watch here:,[],[]
4656,2013-12-03 11:50:00,https://twitter.com/BarackObama,Nobody should have to choose between putting food on their kid's table or taking them to see a doctor. —President Obama #Obamacare,https://twitter.com/BarackObama/status/407960130345377792,1808,1316,,,Nobody should have to choose between putting food on their kid's table or taking them to see a doctor. —President Obama,[],['Obamacare']
4655,2013-12-03 11:56:00,https://twitter.com/BarackObama,President Obama: More than 100M insured Americans have gained access to preventive care to help them stay healthy at no out of pocket cost.,https://twitter.com/BarackObama/status/407961498690916352,398,384,,,President Obama: More than 100M insured Americans have gained access to preventive care to help them stay healthy at no out of pocket cost.,[],[]
4654,2013-12-03 12:02:00,https://twitter.com/BarackObama,Right now what this law is doing is helping folks and we're just getting started. —President Obama on Obamacare,https://twitter.com/BarackObama/status/407963063141154816,360,384,,,Right now what this law is doing is helping folks and we're just getting started. —President Obama on Obamacare,[],[]
4653,2013-12-03 12:08:00,https://twitter.com/BarackObama,Let's help our fellow Americans get covered. Let's give every American a fighting chance. —President Obama,https://twitter.com/BarackObama/status/407964633509548032,543,471,,,Let's help our fellow Americans get covered. Let's give every American a fighting chance. —President Obama,[],[]
4652,2013-12-03 13:45:00,https://twitter.com/BarackObama,Retweet if you're glad insurance companies can no longer put lifetime limits on people's coverage. #Obamacare,https://twitter.com/BarackObama/status/407989055767330817,2657,965,,,Retweet if you're glad insurance companies can no longer put lifetime limits on people's coverage.,[],['Obamacare']
4651,2013-12-03 15:18:00,https://twitter.com/BarackObama,After today the #SafeClimateCaucus will have made 100 climate speeches in Congress. It's time deniers accept the facts and #ActOnClimate.,https://twitter.com/BarackObama/status/408012482863566850,613,520,,,After today the will have made 100 climate speeches in Congress. It's time deniers accept the facts and .,[],"['SafeClimateCaucus', 'ActOnClimate']"
4650,2013-12-04 07:53:00,https://twitter.com/BarackObama,There's still time to get your loved ones together for a good talk about getting covered. http://OFA.BO/z6mmqE pic.twitter.com/A7Z16iwxOH,https://twitter.com/BarackObama/status/408262872284688386,303,351,https://pbs.twimg.com/media/Bapw61aCcAAmh9p.png,,There's still time to get your loved ones together for a good talk about getting covered. pic.twitter.com/A7Z16iwxOH,[],[]
4649,2013-12-04 08:31:00,https://twitter.com/BarackObama,LIVE: President Obama is discussing the challenge of growing income inequality. http://OFA.BO/vre8TP ,https://twitter.com/BarackObama/status/408272459754790912,205,212,,,LIVE: President Obama is discussing the challenge of growing income inequality.,[],[]
4648,2013-12-04 08:37:00,https://twitter.com/BarackObama,I believe this is the defining challenge of our time—making sure our economy works for every working American. —President Obama at @amprog,https://twitter.com/BarackObama/status/408273953954607104,315,278,,,I believe this is the defining challenge of our time—making sure our economy works for every working American. —President Obama at,['amprog'],[]
4647,2013-12-04 08:42:00,https://twitter.com/BarackObama,President Obama: Our kids should grow up in an America where opportunity is real. #ABetterBargain,https://twitter.com/BarackObama/status/408275047090905088,684,594,,,President Obama: Our kids should grow up in an America where opportunity is real.,[],['ABetterBargain']
4646,2013-12-04 08:47:00,https://twitter.com/BarackObama,President Obama: Since 1979 our productivity is up by more than 90% but income has increased by less than 8%.,https://twitter.com/BarackObama/status/408276371727605760,590,387,,,President Obama: Since 1979 our productivity is up by more than 90% but income has increased by less than 8%.,[],[]
4645,2013-12-04 08:51:00,https://twitter.com/BarackObama,We've never begrudged success in America. We aspire to it. —President Obama #ABetterBargain,https://twitter.com/BarackObama/status/408277266091634688,291,282,,,We've never begrudged success in America. We aspire to it. —President Obama,[],['ABetterBargain']
4644,2013-12-04 08:54:00,https://twitter.com/BarackObama,"Retweet if you agree: ""Rising inequality and declining mobility are bad for our democracy."" —President Obama #ABetterBargain",https://twitter.com/BarackObama/status/408278140272648193,1416,453,,,"Retweet if you agree: ""Rising inequality and declining mobility are bad for our democracy."" —President Obama",[],['ABetterBargain']
4643,2013-12-04 08:57:00,https://twitter.com/BarackObama,President Obama: We need strong application of anti-discrimination laws. We need immigration reform. #ABetterBargain,https://twitter.com/BarackObama/status/408278991401779200,439,419,,,President Obama: We need strong application of anti-discrimination laws. We need immigration reform.,[],['ABetterBargain']
4642,2013-12-04 09:01:00,https://twitter.com/BarackObama,We know from our history that our economy grows best from the middle out. —President Obama #ABetterBargain,https://twitter.com/BarackObama/status/408279929562750978,338,318,,,We know from our history that our economy grows best from the middle out. —President Obama,[],['ABetterBargain']
4641,2013-12-04 09:05:00,https://twitter.com/BarackObama,We need to set aside the belief that government cannot do anything about reducing inequality. —President Obama #ABetterBargain,https://twitter.com/BarackObama/status/408281005917601792,512,427,,,We need to set aside the belief that government cannot do anything about reducing inequality. —President Obama,[],['ABetterBargain']
4640,2013-12-04 09:09:00,https://twitter.com/BarackObama,It's time to pass the Employment Non-Discrimination Act so workers can't be fired for who they are or who they love.—President Obama #ENDA,https://twitter.com/BarackObama/status/408281956086845441,917,752,,,It's time to pass the Employment Non-Discrimination Act so workers can't be fired for who they are or who they love.—President Obama,[],['ENDA']
4639,2013-12-04 09:13:00,https://twitter.com/BarackObama,If you work hard you should be able to earn a living ... You should be able to support your family. —President Obama #ABetterBargain,https://twitter.com/BarackObama/status/408282904356069376,1189,882,,,If you work hard you should be able to earn a living ... You should be able to support your family. —President Obama,[],['ABetterBargain']
4638,2013-12-04 09:17:00,https://twitter.com/BarackObama,A broad majority of Americans agree we should raise the minimum wage. —President Obama on creating #ABetterBargain for the middle class,https://twitter.com/BarackObama/status/408283945508151298,536,587,,,A broad majority of Americans agree we should raise the minimum wage. —President Obama on creating for the middle class,[],['ABetterBargain']
4637,2013-12-04 09:21:00,https://twitter.com/BarackObama,A child's course in life should not be determined by the ZIP code he's born in but by the scope of his work ethic. —President Obama,https://twitter.com/BarackObama/status/408284995942227968,2013,1578,,,A child's course in life should not be determined by the ZIP code he's born in but by the scope of his work ethic. —President Obama,[],[]
4636,2013-12-04 09:27:00,https://twitter.com/BarackObama,"President Obama to Congressional Republicans: ""You owe it to the American people to tell us what you are for not just what you're against.""",https://twitter.com/BarackObama/status/408286487772282880,1170,1074,,,"President Obama to Congressional Republicans: ""You owe it to the American people to tell us what you are for not just what you're against.""",[],[]
4635,2013-12-04 09:32:00,https://twitter.com/BarackObama,The best days for this country we love are still ahead. —President Obama #ABetterBargain,https://twitter.com/BarackObama/status/408287754720522240,508,580,,,The best days for this country we love are still ahead. —President Obama,[],['ABetterBargain']
4634,2013-12-04 11:11:00,https://twitter.com/BarackObama,Happening now: The President is speaking about the Affordable Care Act at the White House Youth Summit. http://OFA.BO/AA8gWd  #WHYouth,https://twitter.com/BarackObama/status/408312661927931904,190,227,,,Happening now: The President is speaking about the Affordable Care Act at the White House Youth Summit.,[],['WHYouth']
4633,2013-12-04 11:17:00,https://twitter.com/BarackObama,There was a time when I was a 'young invincible.' After five years in this office people don't call me that anymore. —President Obama,https://twitter.com/BarackObama/status/408314085139173376,715,703,,,There was a time when I was a 'young invincible.' After five years in this office people don't call me that anymore. —President Obama,[],[]
4632,2013-12-04 11:22:00,https://twitter.com/BarackObama,This law is already helping millions of young people and it's about to help millions more. —President Obama #Obamacare,https://twitter.com/BarackObama/status/408315354645929984,525,563,,,This law is already helping millions of young people and it's about to help millions more. —President Obama,[],['Obamacare']
4631,2013-12-04 11:31:00,https://twitter.com/BarackObama,I know people call this law Obamacare and that's okay—because I do care. —President Obama,https://twitter.com/BarackObama/status/408317619976941568,2491,2449,,,I know people call this law Obamacare and that's okay—because I do care. —President Obama,[],[]
4630,2013-12-04 12:48:00,https://twitter.com/BarackObama,Here's how to improve our economy and create hundreds of thousands of jobs: #RaiseTheWage. http://OFA.BO/tXMYUq pic.twitter.com/UDTcTSaqZJ,https://twitter.com/BarackObama/status/408337097859162112,919,729,https://pbs.twimg.com/media/Baq0bVNCYAARn_m.png,,Here's how to improve our economy and create hundreds of thousands of jobs: . pic.twitter.com/UDTcTSaqZJ,[],['RaiseTheWage']
